Mã,Tên,Tên Tiếng Anh,Cấp,Mã TP,Tình/ Thành Phố,Nghị định
01,Thành phố Hà Nội,,Thành phố Trung ương,,,
00190,Phường Ô Chợ Dừa,,Phường,01,Thành phố Hà Nội,Số: 1656/NQ-UBTVQH15; Ngày: 16/06/2025
00199,Phường Láng,,Phường,01,Thành phố Hà Nội,Số: 1656/NQ-UBTVQH15; Ngày: 16/06/2025
00226,Phường Văn Miếu - Quốc Tử Giám,,Phường,01,Thành phố Hà Nội,Số: 1656/NQ-UBTVQH15; Ngày: 16/06/2025
00229,Phường Kim Liên,,Phường,01,Thành phố Hà Nội,Số: 1656/NQ-UBTVQH15; Ngày: 16/06/2025
00235,Phường Đống Đa,,Phường,01,Thành phố Hà Nội,Số: 1656/NQ-UBTVQH15; Ngày: 16/06/2025
00256,Phường Hai Bà Trưng,,Phường,01,Thành phố Hà Nội,Số: 1656/NQ-UBTVQH15; Ngày: 16/06/2025
00283,Phường Vĩnh Tuy,,Phường,01,Thành phố Hà Nội,Số: 1656/NQ-UBTVQH15; Ngày: 16/06/2025
00292,Phường Bạch Mai,,Phường,01,Thành phố Hà Nội,Số: 1656/NQ-UBTVQH15; Ngày: 16/06/2025
00301,Phường Vĩnh Hưng,,Phường,01,Thành phố Hà Nội,Số: 1656/NQ-UBTVQH15; Ngày: 16/06/2025
00316,Phường Định Công,,Phường,01,Thành phố Hà Nội,Số: 1656/NQ-UBTVQH15; Ngày: 16/06/2025
00322,Phường Tương Mai,,Phường,01,Thành phố Hà Nội,Số: 1656/NQ-UBTVQH15; Ngày: 16/06/2025
00328,Phường Lĩnh Nam,,Phường,01,Thành phố Hà Nội,Số: 1656/NQ-UBTVQH15; Ngày: 16/06/2025
00331,Phường Hoàng Mai,,Phường,01,Thành phố Hà Nội,Số: 1656/NQ-UBTVQH15; Ngày: 16/06/2025
00337,Phường Hoàng Liệt,,Phường,01,Thành phố Hà Nội,Số: 1656/NQ-UBTVQH15; Ngày: 16/06/2025
00340,Phường Yên Sở,,Phường,01,Thành phố Hà Nội,Số: 1656/NQ-UBTVQH15; Ngày: 16/06/2025
00352,Phường Phương Liệt,,Phường,01,Thành phố Hà Nội,Số: 1656/NQ-UBTVQH15; Ngày: 16/06/2025
00364,Phường Khương Đình,,Phường,01,Thành phố Hà Nội,Số: 1656/NQ-UBTVQH15; Ngày: 16/06/2025
00367,Phường Thanh Xuân,,Phường,01,Thành phố Hà Nội,Số: 1656/NQ-UBTVQH15; Ngày: 16/06/2025
00376,Xã Sóc Sơn,,Xã,01,Thành phố Hà Nội,Số: 1656/NQ-UBTVQH15; Ngày: 16/06/2025
00382,Xã Kim Anh,,Xã,01,Thành phố Hà Nội,Số: 1656/NQ-UBTVQH15; Ngày: 16/06/2025
00385,Xã Trung Giã ,,Xã,01,Thành phố Hà Nội,Số: 1656/NQ-UBTVQH15; Ngày: 16/06/2025
00430,Xã Đa Phúc,,Xã,01,Thành phố Hà Nội,Số: 1656/NQ-UBTVQH15; Ngày: 16/06/2025
00433,Xã Nội Bài,,Xã,01,Thành phố Hà Nội,Số: 1656/NQ-UBTVQH15; Ngày: 16/06/2025
00454,Xã Đông Anh,,Xã,01,Thành phố Hà Nội,Số: 1656/NQ-UBTVQH15; Ngày: 16/06/2025
00466,Xã Phúc Thịnh,,Xã,01,Thành phố Hà Nội,Số: 1656/NQ-UBTVQH15; Ngày: 16/06/2025
00475,Xã Thư Lâm,,Xã,01,Thành phố Hà Nội,Số: 1656/NQ-UBTVQH15; Ngày: 16/06/2025
00493,Xã Thiên Lộc,,Xã,01,Thành phố Hà Nội,Số: 1656/NQ-UBTVQH15; Ngày: 16/06/2025
00508,Xã Vĩnh Thanh,,Xã,01,Thành phố Hà Nội,Số: 1656/NQ-UBTVQH15; Ngày: 16/06/2025
00541,Xã Phù Đổng,,Xã,01,Thành phố Hà Nội,Số: 1656/NQ-UBTVQH15; Ngày: 16/06/2025
00562,Xã Thuận An,,Xã,01,Thành phố Hà Nội,Số: 1656/NQ-UBTVQH15; Ngày: 16/06/2025
00565,Xã Gia Lâm,Trau Quy Commune,Xã,01,Thành phố Hà Nội,Số: 1656/NQ-UBTVQH15; Ngày: 16/06/2025
00577,Xã Bát Tràng,,Xã,01,Thành phố Hà Nội,Số: 1656/NQ-UBTVQH15; Ngày: 16/06/2025
00592,Phường Từ Liêm,,Phường,01,Thành phố Hà Nội,Số: 1656/NQ-UBTVQH15; Ngày: 16/06/2025
00598,Phường Thượng Cát,,Phường,01,Thành phố Hà Nội,Số: 1656/NQ-UBTVQH15; Ngày: 16/06/2025
00602,Phường Đông Ngạc,,Phường,01,Thành phố Hà Nội,Số: 1656/NQ-UBTVQH15; Ngày: 16/06/2025
00611,Phường Xuân Đỉnh,,Phường,01,Thành phố Hà Nội,Số: 1656/NQ-UBTVQH15; Ngày: 16/06/2025
00613,Phường Tây Tựu,,Phường,01,Thành phố Hà Nội,Số: 1656/NQ-UBTVQH15; Ngày: 16/06/2025
00619,Phường Phú Diễn,,Phường,01,Thành phố Hà Nội,Số: 1656/NQ-UBTVQH15; Ngày: 16/06/2025
00622,Phường Xuân Phương ,,Phường,01,Thành phố Hà Nội,Số: 1656/NQ-UBTVQH15; Ngày: 16/06/2025
00634,Phường Tây Mỗ,,Phường,01,Thành phố Hà Nội,Số: 1656/NQ-UBTVQH15; Ngày: 16/06/2025
00637,Phường Đại Mỗ,,Phường,01,Thành phố Hà Nội,Số: 1656/NQ-UBTVQH15; Ngày: 16/06/2025
00640,Xã Thanh Trì,,Xã,01,Thành phố Hà Nội,Số: 1656/NQ-UBTVQH15; Ngày: 16/06/2025
00643,Phường Thanh Liệt,,Phường,01,Thành phố Hà Nội,Số: 1656/NQ-UBTVQH15; Ngày: 16/06/2025
00664,Xã Đại Thanh,,Xã,01,Thành phố Hà Nội,Số: 1656/NQ-UBTVQH15; Ngày: 16/06/2025
00679,Xã Ngọc Hồi,,Xã,01,Thành phố Hà Nội,Số: 1656/NQ-UBTVQH15; Ngày: 16/06/2025
00685,Xã Nam Phù,,Xã,01,Thành phố Hà Nội,Số: 1656/NQ-UBTVQH15; Ngày: 16/06/2025
04930,Xã Yên Xuân,,Xã,01,Thành phố Hà Nội,Số: 1656/NQ-UBTVQH15; Ngày: 16/06/2025
08974,Xã Quang Minh,,Xã,01,Thành phố Hà Nội,Số: 1656/NQ-UBTVQH15; Ngày: 16/06/2025
08980,Xã Yên Lãng,,Xã,01,Thành phố Hà Nội,Số: 1656/NQ-UBTVQH15; Ngày: 16/06/2025
08995,Xã Tiến Thắng,,Xã,01,Thành phố Hà Nội,Số: 1656/NQ-UBTVQH15; Ngày: 16/06/2025
09022,Xã Mê Linh,,Xã,01,Thành phố Hà Nội,Số: 1656/NQ-UBTVQH15; Ngày: 16/06/2025
09552,Phường Kiến Hưng ,,Phường,01,Thành phố Hà Nội,Số: 1656/NQ-UBTVQH15; Ngày: 16/06/2025
09556,Phường Hà Đông,,Phường,01,Thành phố Hà Nội,Số: 1656/NQ-UBTVQH15; Ngày: 16/06/2025
09562,Phường Yên Nghĩa,,Phường,01,Thành phố Hà Nội,Số: 1656/NQ-UBTVQH15; Ngày: 16/06/2025
09568,Phường Phú Lương,,Phường,01,Thành phố Hà Nội,Số: 1656/NQ-UBTVQH15; Ngày: 16/06/2025
09574,Phường Sơn Tây,,Phường,01,Thành phố Hà Nội,Số: 1656/NQ-UBTVQH15; Ngày: 16/06/2025
09604,Phường Tùng Thiện,,Phường,01,Thành phố Hà Nội,Số: 1656/NQ-UBTVQH15; Ngày: 16/06/2025
09616,Xã Đoài Phương,,Xã,01,Thành phố Hà Nội,Số: 1656/NQ-UBTVQH15; Ngày: 16/06/2025
09619,Xã Quảng Oai,,Xã,01,Thành phố Hà Nội,Số: 1656/NQ-UBTVQH15; Ngày: 16/06/2025
09634,Xã Cổ Đô,,Xã,01,Thành phố Hà Nội,Số: 1656/NQ-UBTVQH15; Ngày: 16/06/2025
09661,Xã Minh Châu,,Xã,01,Thành phố Hà Nội,Số: 1656/NQ-UBTVQH15; Ngày: 16/06/2025
09664,Xã Vật Lại,,Xã,01,Thành phố Hà Nội,Số: 1656/NQ-UBTVQH15; Ngày: 16/06/2025
09676,Xã Bất Bạt,,Xã,01,Thành phố Hà Nội,Số: 1656/NQ-UBTVQH15; Ngày: 16/06/2025
09694,Xã Suối Hai,,Xã,01,Thành phố Hà Nội,Số: 1656/NQ-UBTVQH15; Ngày: 16/06/2025
09700,Xã Ba Vì,,Xã,01,Thành phố Hà Nội,Số: 1656/NQ-UBTVQH15; Ngày: 16/06/2025
09706,Xã Yên Bài ,,Xã,01,Thành phố Hà Nội,Số: 1656/NQ-UBTVQH15; Ngày: 16/06/2025
09715,Xã Phúc Thọ,,Xã,01,Thành phố Hà Nội,Số: 1656/NQ-UBTVQH15; Ngày: 16/06/2025
09739,Xã Phúc Lộc,,Xã,01,Thành phố Hà Nội,Số: 1656/NQ-UBTVQH15; Ngày: 16/06/2025
09772,Xã Hát Môn,,Xã,01,Thành phố Hà Nội,Số: 1656/NQ-UBTVQH15; Ngày: 16/06/2025
09784,Xã Đan Phượng,,Xã,01,Thành phố Hà Nội,Số: 1656/NQ-UBTVQH15; Ngày: 16/06/2025
09787,Xã Liên Minh,,Xã,01,Thành phố Hà Nội,Số: 1656/NQ-UBTVQH15; Ngày: 16/06/2025
09817,Xã Ô Diên,,Xã,01,Thành phố Hà Nội,Số: 1656/NQ-UBTVQH15; Ngày: 16/06/2025
09832,Xã Hoài Đức,,Xã,01,Thành phố Hà Nội,Số: 1656/NQ-UBTVQH15; Ngày: 16/06/2025
09856,Xã Dương Hòa,,Xã,01,Thành phố Hà Nội,Số: 1656/NQ-UBTVQH15; Ngày: 16/06/2025
09871,Xã Sơn Đồng,,Xã,01,Thành phố Hà Nội,Số: 1656/NQ-UBTVQH15; Ngày: 16/06/2025
09877,Xã An Khánh,,Xã,01,Thành phố Hà Nội,Số: 1656/NQ-UBTVQH15; Ngày: 16/06/2025
09886,Phường Dương Nội,,Phường,01,Thành phố Hà Nội,Số: 1656/NQ-UBTVQH15; Ngày: 16/06/2025
09895,Xã Quốc Oai,,Xã,01,Thành phố Hà Nội,Số: 1656/NQ-UBTVQH15; Ngày: 16/06/2025
09910,Xã Kiều Phú,,Xã,01,Thành phố Hà Nội,Số: 1656/NQ-UBTVQH15; Ngày: 16/06/2025
09931,Xã Hưng Đạo ,,Xã,01,Thành phố Hà Nội,Số: 1656/NQ-UBTVQH15; Ngày: 16/06/2025
09952,Xã Phú Cát ,,Xã,01,Thành phố Hà Nội,Số: 1656/NQ-UBTVQH15; Ngày: 16/06/2025
09955,Xã Thạch Thất,,Xã,01,Thành phố Hà Nội,Số: 1656/NQ-UBTVQH15; Ngày: 16/06/2025
09982,Xã Hạ Bằng,,Xã,01,Thành phố Hà Nội,Số: 1656/NQ-UBTVQH15; Ngày: 16/06/2025
09988,Xã Hòa Lạc,,Xã,01,Thành phố Hà Nội,Số: 1656/NQ-UBTVQH15; Ngày: 16/06/2025
10003,Xã Tây Phương,,Xã,01,Thành phố Hà Nội,Số: 1656/NQ-UBTVQH15; Ngày: 16/06/2025
10015,Phường Chương Mỹ,,Phường,01,Thành phố Hà Nội,Số: 1656/NQ-UBTVQH15; Ngày: 16/06/2025
10030,Xã Phú Nghĩa,,Xã,01,Thành phố Hà Nội,Số: 1656/NQ-UBTVQH15; Ngày: 16/06/2025
10045,Xã Xuân Mai,,Xã,01,Thành phố Hà Nội,Số: 1656/NQ-UBTVQH15; Ngày: 16/06/2025
10072,Xã Quảng Bị,,Xã,01,Thành phố Hà Nội,Số: 1656/NQ-UBTVQH15; Ngày: 16/06/2025
10081,Xã Trần Phú ,,Xã,01,Thành phố Hà Nội,Số: 1656/NQ-UBTVQH15; Ngày: 16/06/2025
10096,Xã Hòa Phú ,,Xã,01,Thành phố Hà Nội,Số: 1656/NQ-UBTVQH15; Ngày: 16/06/2025
10114,Xã Thanh Oai,,Xã,01,Thành phố Hà Nội,Số: 1656/NQ-UBTVQH15; Ngày: 16/06/2025
10126,Xã Bình Minh ,,Xã,01,Thành phố Hà Nội,Số: 1656/NQ-UBTVQH15; Ngày: 16/06/2025
10144,Xã Tam Hưng,,Xã,01,Thành phố Hà Nội,Số: 1656/NQ-UBTVQH15; Ngày: 16/06/2025
10180,Xã Dân Hòa ,,Xã,01,Thành phố Hà Nội,Số: 1656/NQ-UBTVQH15; Ngày: 16/06/2025
10183,Xã Thường Tín,,Xã,01,Thành phố Hà Nội,Số: 1656/NQ-UBTVQH15; Ngày: 16/06/2025
10210,Xã Hồng Vân,,Xã,01,Thành phố Hà Nội,Số: 1656/NQ-UBTVQH15; Ngày: 16/06/2025
10231,Xã Thượng Phúc,,Xã,01,Thành phố Hà Nội,Số: 1656/NQ-UBTVQH15; Ngày: 16/06/2025
10237,Xã Chương Dương,,Xã,01,Thành phố Hà Nội,Số: 1656/NQ-UBTVQH15; Ngày: 16/06/2025
10273,Xã Phú Xuyên,,Xã,01,Thành phố Hà Nội,Số: 1656/NQ-UBTVQH15; Ngày: 16/06/2025
10279,Xã Phượng Dực,,Xã,01,Thành phố Hà Nội,Số: 1656/NQ-UBTVQH15; Ngày: 16/06/2025
10330,Xã Chuyên Mỹ,,Xã,01,Thành phố Hà Nội,Số: 1656/NQ-UBTVQH15; Ngày: 16/06/2025
10342,Xã Đại Xuyên,,Xã,01,Thành phố Hà Nội,Số: 1656/NQ-UBTVQH15; Ngày: 16/06/2025
10354,Xã Vân Đình,,Xã,01,Thành phố Hà Nội,Số: 1656/NQ-UBTVQH15; Ngày: 16/06/2025
10369,Xã Ứng Thiên,,Xã,01,Thành phố Hà Nội,Số: 1656/NQ-UBTVQH15; Ngày: 16/06/2025
10402,Xã Ứng Hòa,,Xã,01,Thành phố Hà Nội,Số: 1656/NQ-UBTVQH15; Ngày: 16/06/2025
10417,Xã Hòa Xá,,Xã,01,Thành phố Hà Nội,Số: 1656/NQ-UBTVQH15; Ngày: 16/06/2025
10441,Xã Mỹ Đức,,Xã,01,Thành phố Hà Nội,Số: 1656/NQ-UBTVQH15; Ngày: 16/06/2025
10459,Xã Phúc Sơn,,Xã,01,Thành phố Hà Nội,Số: 1656/NQ-UBTVQH15; Ngày: 16/06/2025
10465,Xã Hồng Sơn,,Xã,01,Thành phố Hà Nội,Số: 1656/NQ-UBTVQH15; Ngày: 16/06/2025
10489,Xã Hương Sơn,,Xã,01,Thành phố Hà Nội,Số: 1656/NQ-UBTVQH15; Ngày: 16/06/2025
04,Tỉnh Cao Bằng,,Tỉnh,,,
04,Tỉnh Cao Bằng,,Tỉnh,04,Tỉnh Cao Bằng,Số: 1657/NQ-UBTVQH15; Ngày: 16/06/2025
01273,Phường Thục Phán,,Phường,04,Tỉnh Cao Bằng,Số: 1657/NQ-UBTVQH15; Ngày: 16/06/2025
01279,Phường Nùng Trí Cao,,Phường,04,Tỉnh Cao Bằng,Số: 1657/NQ-UBTVQH15; Ngày: 16/06/2025
01288,Phường Tân Giang,,Phường,04,Tỉnh Cao Bằng,Số: 1657/NQ-UBTVQH15; Ngày: 16/06/2025
01290,Xã Bảo Lâm,,Xã,04,Tỉnh Cao Bằng,Số: 1657/NQ-UBTVQH15; Ngày: 16/06/2025
01294,Xã Lý Bôn,,Xã,04,Tỉnh Cao Bằng,Số: 1657/NQ-UBTVQH15; Ngày: 16/06/2025
01297,Xã Nam Quang,,Xã,04,Tỉnh Cao Bằng,Số: 1657/NQ-UBTVQH15; Ngày: 16/06/2025
01304,Xã Quảng Lâm,Thach Lam commune,Xã,04,Tỉnh Cao Bằng,Số: 1657/NQ-UBTVQH15; Ngày: 16/06/2025
01318,Xã Yên Thổ,,Xã,04,Tỉnh Cao Bằng,Số: 1657/NQ-UBTVQH15; Ngày: 16/06/2025
01321,Xã Bảo Lạc,,Xã,04,Tỉnh Cao Bằng,Số: 1657/NQ-UBTVQH15; Ngày: 16/06/2025
01324,Xã Cốc Pàng,,Xã,04,Tỉnh Cao Bằng,Số: 1657/NQ-UBTVQH15; Ngày: 16/06/2025
01327,Xã Cô Ba,,Xã,04,Tỉnh Cao Bằng,Số: 1657/NQ-UBTVQH15; Ngày: 16/06/2025
01336,Xã Khánh Xuân,,Xã,04,Tỉnh Cao Bằng,Số: 1657/NQ-UBTVQH15; Ngày: 16/06/2025
01339,Xã Xuân Trường,,Xã,04,Tỉnh Cao Bằng,Số: 1657/NQ-UBTVQH15; Ngày: 16/06/2025
01351,Xã Hưng Đạo,,Xã,04,Tỉnh Cao Bằng,Số: 1657/NQ-UBTVQH15; Ngày: 16/06/2025
01354,Xã Huy Giáp,,Xã,04,Tỉnh Cao Bằng,Số: 1657/NQ-UBTVQH15; Ngày: 16/06/2025
01360,Xã Sơn Lộ,,Xã,04,Tỉnh Cao Bằng,Số: 1657/NQ-UBTVQH15; Ngày: 16/06/2025
01363,Xã Thông Nông,,Xã,04,Tỉnh Cao Bằng,Số: 1657/NQ-UBTVQH15; Ngày: 16/06/2025
01366,Xã Cần Yên,,Xã,04,Tỉnh Cao Bằng,Số: 1657/NQ-UBTVQH15; Ngày: 16/06/2025
01387,Xã Thanh Long,,Xã,04,Tỉnh Cao Bằng,Số: 1657/NQ-UBTVQH15; Ngày: 16/06/2025
01392,Xã Trường Hà,,Xã,04,Tỉnh Cao Bằng,Số: 1657/NQ-UBTVQH15; Ngày: 16/06/2025
01393,Xã Lũng Nặm,,Xã,04,Tỉnh Cao Bằng,Số: 1657/NQ-UBTVQH15; Ngày: 16/06/2025
01414,Xã Tổng Cọt,,Xã,04,Tỉnh Cao Bằng,Số: 1657/NQ-UBTVQH15; Ngày: 16/06/2025
01438,Xã Hà Quảng,,Xã,04,Tỉnh Cao Bằng,Số: 1657/NQ-UBTVQH15; Ngày: 16/06/2025
01447,Xã Trà Lĩnh,,Xã,04,Tỉnh Cao Bằng,Số: 1657/NQ-UBTVQH15; Ngày: 16/06/2025
01456,Xã Quang Hán,,Xã,04,Tỉnh Cao Bằng,Số: 1657/NQ-UBTVQH15; Ngày: 16/06/2025
01465,Xã Quang Trung,,Xã,04,Tỉnh Cao Bằng,Số: 1657/NQ-UBTVQH15; Ngày: 16/06/2025
01477,Xã Trùng Khánh,,Xã,04,Tỉnh Cao Bằng,Số: 1657/NQ-UBTVQH15; Ngày: 16/06/2025
01489,Xã Đình Phong,,Xã,04,Tỉnh Cao Bằng,Số: 1657/NQ-UBTVQH15; Ngày: 16/06/2025
01501,Xã Đàm Thủy,,Xã,04,Tỉnh Cao Bằng,Số: 1657/NQ-UBTVQH15; Ngày: 16/06/2025
01525,Xã Đoài Dương,,Xã,04,Tỉnh Cao Bằng,Số: 1657/NQ-UBTVQH15; Ngày: 16/06/2025
01537,Xã Lý Quốc,,Xã,04,Tỉnh Cao Bằng,Số: 1657/NQ-UBTVQH15; Ngày: 16/06/2025
01552,Xã Quang Long,,Xã,04,Tỉnh Cao Bằng,Số: 1657/NQ-UBTVQH15; Ngày: 16/06/2025
01558,Xã Hạ Lang,,Xã,04,Tỉnh Cao Bằng,Số: 1657/NQ-UBTVQH15; Ngày: 16/06/2025
01561,Xã Vinh Quý,,Xã,04,Tỉnh Cao Bằng,Số: 1657/NQ-UBTVQH15; Ngày: 16/06/2025
01576,Xã Quảng Uyên,,Xã,04,Tỉnh Cao Bằng,Số: 1657/NQ-UBTVQH15; Ngày: 16/06/2025
01594,Xã Độc Lập,,Xã,04,Tỉnh Cao Bằng,Số: 1657/NQ-UBTVQH15; Ngày: 16/06/2025
01618,Xã Hạnh Phúc,,Xã,04,Tỉnh Cao Bằng,Số: 1657/NQ-UBTVQH15; Ngày: 16/06/2025
01636,Xã Bế Văn Đàn,,Xã,04,Tỉnh Cao Bằng,Số: 1657/NQ-UBTVQH15; Ngày: 16/06/2025
01648,Xã Phục Hòa,,Xã,04,Tỉnh Cao Bằng,Số: 1657/NQ-UBTVQH15; Ngày: 16/06/2025
01654,Xã Hòa An,,Xã,04,Tỉnh Cao Bằng,Số: 1657/NQ-UBTVQH15; Ngày: 16/06/2025
01660,Xã Nam Tuấn,,Xã,04,Tỉnh Cao Bằng,Số: 1657/NQ-UBTVQH15; Ngày: 16/06/2025
01699,Xã Nguyễn Huệ,,Xã,04,Tỉnh Cao Bằng,Số: 1657/NQ-UBTVQH15; Ngày: 16/06/2025
01708,Xã Bạch Đằng,,Xã,04,Tỉnh Cao Bằng,Số: 1657/NQ-UBTVQH15; Ngày: 16/06/2025
01726,Xã Nguyên Bình,,Xã,04,Tỉnh Cao Bằng,Số: 1657/NQ-UBTVQH15; Ngày: 16/06/2025
01729,Xã Tĩnh Túc,,Xã,04,Tỉnh Cao Bằng,Số: 1657/NQ-UBTVQH15; Ngày: 16/06/2025
01738,Xã Ca Thành,,Xã,04,Tỉnh Cao Bằng,Số: 1657/NQ-UBTVQH15; Ngày: 16/06/2025
01747,Xã Minh Tâm,,Xã,04,Tỉnh Cao Bằng,Số: 1657/NQ-UBTVQH15; Ngày: 16/06/2025
01768,Xã Phan Thanh,,Xã,04,Tỉnh Cao Bằng,Số: 1657/NQ-UBTVQH15; Ngày: 16/06/2025
01774,Xã Tam Kim,,Xã,04,Tỉnh Cao Bằng,Số: 1657/NQ-UBTVQH15; Ngày: 16/06/2025
01777,Xã Thành Công,,Xã,04,Tỉnh Cao Bằng,Số: 1657/NQ-UBTVQH15; Ngày: 16/06/2025
01786,Xã Đông Khê,,Xã,04,Tỉnh Cao Bằng,Số: 1657/NQ-UBTVQH15; Ngày: 16/06/2025
01789,Xã Canh Tân,,Xã,04,Tỉnh Cao Bằng,Số: 1657/NQ-UBTVQH15; Ngày: 16/06/2025
01792,Xã Kim Đồng,,Xã,04,Tỉnh Cao Bằng,Số: 1657/NQ-UBTVQH15; Ngày: 16/06/2025
01795,Xã Minh Khai,,Xã,04,Tỉnh Cao Bằng,Số: 1657/NQ-UBTVQH15; Ngày: 16/06/2025
01807,Xã Thạch An,,Xã,04,Tỉnh Cao Bằng,Số: 1657/NQ-UBTVQH15; Ngày: 16/06/2025
01822,Xã Đức Long,,Xã,04,Tỉnh Cao Bằng,Số: 1657/NQ-UBTVQH15; Ngày: 16/06/2025
08,Tỉnh Tuyên Quang,,Tỉnh,,,202/2025/QH15 - 12/06/2025
08,Tỉnh Tuyên Quang,,Tỉnh,08,Tỉnh Tuyên Quang,Số: 1684/NQ-UBTVQH15; Ngày: 16/06/2025
00691,Phường Hà Giang 2,,Phường,08,Tỉnh Tuyên Quang,Số: 1684/NQ-UBTVQH15; Ngày: 16/06/2025
00694,Phường Hà Giang 1,,Phường,08,Tỉnh Tuyên Quang,Số: 1684/NQ-UBTVQH15; Ngày: 16/06/2025
00700,Xã Ngọc Đường,,Xã,08,Tỉnh Tuyên Quang,Số: 1684/NQ-UBTVQH15; Ngày: 16/06/2025
00706,Xã Phú Linh,,Xã,08,Tỉnh Tuyên Quang,Số: 1684/NQ-UBTVQH15; Ngày: 16/06/2025
00715,Xã Lũng Cú,,Xã,08,Tỉnh Tuyên Quang,Số: 1684/NQ-UBTVQH15; Ngày: 16/06/2025
00721,Xã Đồng Văn,,Xã,08,Tỉnh Tuyên Quang,Số: 1684/NQ-UBTVQH15; Ngày: 16/06/2025
00733,Xã Sà Phìn ,,Xã,08,Tỉnh Tuyên Quang,Số: 1684/NQ-UBTVQH15; Ngày: 16/06/2025
00745,Xã Phố Bảng,,Xã,08,Tỉnh Tuyên Quang,Số: 1684/NQ-UBTVQH15; Ngày: 16/06/2025
00763,Xã Lũng Phìn,,Xã,08,Tỉnh Tuyên Quang,Số: 1684/NQ-UBTVQH15; Ngày: 16/06/2025
00769,Xã Mèo Vạc,,Xã,08,Tỉnh Tuyên Quang,Số: 1684/NQ-UBTVQH15; Ngày: 16/06/2025
00778,Xã Sơn Vĩ,,Xã,08,Tỉnh Tuyên Quang,Số: 1684/NQ-UBTVQH15; Ngày: 16/06/2025
00787,Xã Sủng Máng,,Xã,08,Tỉnh Tuyên Quang,Số: 1684/NQ-UBTVQH15; Ngày: 16/06/2025
00802,Xã Khâu Vai,,Xã,08,Tỉnh Tuyên Quang,Số: 1684/NQ-UBTVQH15; Ngày: 16/06/2025
00808,Xã Tát Ngà,,Xã,08,Tỉnh Tuyên Quang,Số: 1684/NQ-UBTVQH15; Ngày: 16/06/2025
00817,Xã Niêm Sơn,,Xã,08,Tỉnh Tuyên Quang,Số: 1684/NQ-UBTVQH15; Ngày: 16/06/2025
00820,Xã Yên Minh,,Xã,08,Tỉnh Tuyên Quang,Số: 1684/NQ-UBTVQH15; Ngày: 16/06/2025
00829,Xã Thắng Mố,,Xã,08,Tỉnh Tuyên Quang,Số: 1684/NQ-UBTVQH15; Ngày: 16/06/2025
00832,Xã Bạch Đích,,Xã,08,Tỉnh Tuyên Quang,Số: 1684/NQ-UBTVQH15; Ngày: 16/06/2025
00847,Xã Mậu Duệ,,Xã,08,Tỉnh Tuyên Quang,Số: 1684/NQ-UBTVQH15; Ngày: 16/06/2025
00859,Xã Ngọc Long,,Xã,08,Tỉnh Tuyên Quang,Số: 1684/NQ-UBTVQH15; Ngày: 16/06/2025
00865,Xã Đường Thượng,,Xã,08,Tỉnh Tuyên Quang,Số: 1684/NQ-UBTVQH15; Ngày: 16/06/2025
00871,Xã Du Già,,Xã,08,Tỉnh Tuyên Quang,Số: 1684/NQ-UBTVQH15; Ngày: 16/06/2025
